Insurance Internal ID,State,Payor,"Payor, State",Insurance Internal ID2,Service_Address,Entity,NPI of entity ,Entity Tin,Payor Type,Active Individual Enrollment ,Status of contracting team,Notes,Billing address , Company,Contract Effective Date,Date Submitted to Medallion,Date Updated,Is_non_BCBA_compliant,Regions,All regions 4 state ,Is License required?
158,CA,Carelon - HPSF,"Carelon - HPSF, CA",158,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/4/2024,11/29/2024,,,,,
158,CA,Carelon - HPSF,"Carelon - HPSF, CA",158,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/4/2024,11/29/2024,,,,,
158,CA,Carelon - HPSF,"Carelon - HPSF, CA",158,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/4/2024,11/29/2024,,,,,
159,CA,Carelon (Beacon) Commercial,"Carelon (Beacon) Commercial, CA",159,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2024,11/29/2024,,,,,
159,CA,Carelon (Beacon) Commercial,"Carelon (Beacon) Commercial, CA",159,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2024,11/29/2024,,,,,
159,CA,Carelon (Beacon) Commercial,"Carelon (Beacon) Commercial, CA",159,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2024,11/29/2024,,,,,
159,CA,Carelon (Beacon) Commercial,"Carelon (Beacon) Commercial, CA",159,"3745 Long Beach Blvd, Ste 100, Long Beach, CA 90807-3340",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2024,11/29/2024,,,,,
159,CA,Carelon (Beacon) Commercial,"Carelon (Beacon) Commercial, CA",159,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2024,11/29/2024,,,,,
159,CA,Carelon (Beacon) Commercial,"Carelon (Beacon) Commercial, CA",159,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2024,11/29/2024,,,,,
159,CA,Carelon (Beacon) Commercial,"Carelon (Beacon) Commercial, CA",159,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2024,11/29/2024,,,,,
159,CA,Carelon (Beacon) Commercial,"Carelon (Beacon) Commercial, CA",159,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,4/1/2024,11/29/2024,,,,,
160,CA,Carelon (Beacon) MCD,"Carelon (Beacon) MCD, CA",160,"3745 Long Beach Blvd, Ste 100, Long Beach, CA 90807-3340",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
160,CA,Carelon (Beacon) MCD,"Carelon (Beacon) MCD, CA",160,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
160,CA,Carelon (Beacon) MCD,"Carelon (Beacon) MCD, CA",160,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
160,CA,Carelon (Beacon) MCD,"Carelon (Beacon) MCD, CA",160,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
160,CA,Carelon (Beacon) MCD,"Carelon (Beacon) MCD, CA",160,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
160,CA,Carelon (Beacon) MCD,"Carelon (Beacon) MCD, CA",160,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
160,CA,Carelon (Beacon) MCD,"Carelon (Beacon) MCD, CA",160,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
160,CA,Carelon (Beacon) MCD,"Carelon (Beacon) MCD, CA",160,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
163,CA,Catalight,"Catalight, CA",163,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
163,CA,Catalight,"Catalight, CA",163,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
163,CA,Catalight,"Catalight, CA",163,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
163,CA,Catalight,"Catalight, CA",163,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Managed Medicaid,yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
163,CA,Catalight,"Catalight, CA",163,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
163,CA,Catalight,"Catalight, CA",163,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
163,CA,Catalight,"Catalight, CA",163,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
164,CA,Catalight,"Catalight, CA",164,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
164,CA,Catalight,"Catalight, CA",164,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
164,CA,Catalight,"Catalight, CA",164,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
164,CA,Catalight,"Catalight, CA",164,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
164,CA,Catalight,"Catalight, CA",164,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
164,CA,Catalight,"Catalight, CA",164,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
164,CA,Catalight,"Catalight, CA",164,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Kadiant inputs information into Catalight's system and it goes live immediately. (Semi delegated) ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2020,11/29/2024,,,,,
165,CA,Chinese Comm Health Plan,"Chinese Comm Health Plan, CA",165,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Primary Service Address,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,N/A,11/29/2024,,,,,
166,CA,Cigna,"Cigna, CA",166,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,ID 5795381,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
166,CA,Cigna,"Cigna, CA",166,"3745 Long Beach Blvd, Ste 100, Long Beach, CA 90807-3340",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,ID 5795389,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
166,CA,Cigna,"Cigna, CA",166,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,ID 5795392,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
166,CA,Cigna,"Cigna, CA",166,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,ID 5795393,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
166,CA,Cigna,"Cigna, CA",166,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,ID 5795397,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
166,CA,Cigna,"Cigna, CA",166,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,ID 5795398,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
166,CA,Cigna,"Cigna, CA",166,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,ID 5795406,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
166,CA,Cigna,"Cigna, CA",166,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,ID 5804756,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
200,CA,Contra Costa Health Plan (CCHP),"Contra Costa Health Plan (CCHP), CA",200,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete ,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
201,CA,Contra Costa Health Plan (CCHP) MCD,"Contra Costa Health Plan (CCHP) MCD, CA",201,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete ,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
207,CA,Health Plan of San Joaquin,"Health Plan of San Joaquin, CA",207,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete ,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2024,11/29/2024,12/2/2024,,,,
207,CA,Health Plan of San Joaquin,"Health Plan of San Joaquin, CA",207,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete ,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2024,11/29/2024,12/2/2024,,,,
207,CA,Health Plan of San Joaquin,"Health Plan of San Joaquin, CA",207,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete ,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2024,11/29/2024,12/2/2024,,,,
207,CA,Health Plan of San Joaquin,"Health Plan of San Joaquin, CA",207,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete ,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2024,11/29/2024,12/2/2024,,,,
207,CA,Health Plan of San Joaquin,"Health Plan of San Joaquin, CA",207,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete ,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2024,11/29/2024,12/2/2024,,,,
207,CA,Health Plan of San Joaquin,"Health Plan of San Joaquin, CA",207,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete ,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2024,11/29/2024,12/2/2024,,,,
117,DC, HSCSN," HSCSN, DC",117,"1100 H Street NW, Washington, DC 20005",Sunrise Therapy LLC,1427388610,271356178,Managed Medicaid,yes,NEEDs review ,,"856 Towbin Avenue, Lakewood NJ 08701",Sunrise,7/1/2020,11/29/2024,,,,,
161,GA,CareSource,"CareSource, GA",161,"1519 Johnson Ferry Road, Suite #100, Marietta, GA 30062-6410",Kadiant LLC,1811547052,833935694,Managed Medicaid,No ,Complete,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,3/29/2021,11/29/2024,,,,,
161,GA,CareSource,"CareSource, GA",161,"2711 Irvin Way, Suite 201, Decatur , GA 30030-1724",Kadiant LLC,1811547052,833935694,Managed Medicaid,No ,Complete,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,3/29/2021,11/29/2024,,,,,
161,GA,CareSource,"CareSource, GA",161,"2810 Premiere Pkwy, Suite 500 , Duluth, GA 30097-8912",Kadiant LLC,1811547052,833935694,Managed Medicaid,No ,Complete,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,3/29/2021,11/29/2024,,,,,
161,GA,CareSource,"CareSource, GA",161,"7360 McGinnis Ferry Rd, Suite 100, Johns Creek, GA 30024-6603",Kadiant LLC,1811547052,833935694,Managed Medicaid,No ,Complete,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,3/29/2021,11/29/2024,,,,,
161,GA,CareSource,"CareSource, GA",161,"955 Interstate Ridge Drive Suite ABC, Gainesville, GA 30501-7013",Kadiant LLC,1811547052,833935694,Managed Medicaid,No ,Complete,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,3/29/2021,11/29/2024,,,,,
156,MD,Carefirst Blue Choice,"Carefirst Blue Choice, MD",156,"400 East Pratt Street, 8th Floor, Baltimore Maryland 21202",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,F/U,?,"850 Towbin Avenue, Lakewood NJ 08701",Attain,10/8/2020,11/29/2024,,,,,
196,NJ,ComPsych,"ComPsych, NJ",196,"1 Allison Drive, Cherry Hill, NJ 08003",Progressive Applied Behavioral Treatment,1497109409,812236861,Commercial,No,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,,11/29/2024,,,,,
196,NJ,ComPsych,"ComPsych, NJ",196,"1166 River Avenue, Lakewood, NJ 08701",Progressive Applied Behavioral Treatment,1497109409,812236861,Commercial,No,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,,11/29/2024,,,,,
196,NJ,ComPsych,"ComPsych, NJ",196,"1902 Fairfax Avenue, Suite 117, Cherry Hill, NJ 08003",Connect Plus Therapy,1497109409,812236861,Commercial,No,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,,11/29/2024,,,,,
139,OH,Anthem BCBS,"Anthem BCBS, OH",139,"3070 Riverside Dr. Ste 200, Columbus, OH 43221-2547",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,1/1/2022,11/29/2024,,,,,
227,OR,Kaiser NW,"Kaiser NW, OR",227,"1675 S. W. Marlow Ave., Ste. 200, Portland, OR 97225-5102",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,5/1/2022,11/29/2024,,,,,
173,PA,Cigna,"Cigna, PA",173,"201 Penn Center Boulevard, Suite 400, Pittsburgh, PA 15235",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,ID 5795978,"850 Towbin Avenue, Lakewood NJ 08701",Attain,10/6/2020,11/29/2024,,,,,
178,PA,Community Behavioral Health (CBH),"Community Behavioral Health (CBH), PA",178,"4646 Umbria Street, Philadelphia PA 19127",Bright Beginnings Therapeutic Services LLC DBA Attain ABA,1710535752,842920357,Managed Medicaid,No,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,6/28/2021,11/29/2024,,,,,
178,PA,Community Behavioral Health (CBH),"Community Behavioral Health (CBH), PA",178,"1326 Chestnut Street, 3rd floor Philadelphia, PA 19107",Bright Beginnings Therapeutic Services LLC DBA Attain ABA,1710535752,842920357,Managed Medicaid,No ,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,6/28/2021,11/29/2024,,,,,
179,PA,Community Care Behavioral Health Allegheny County,"Community Care Behavioral Health Allegheny County, PA",179,"201 Penn Center Boulevard, Suite 400, Pittsburgh, PA 15235",Bright Beginnings Therapeutic Services LLC DBA Attain ABA,1710535752,842920357,Managed Medicaid,No,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,6/14/2021,11/29/2024,,,,,
180,PA,Community Care Behavioral Health Berks,"Community Care Behavioral Health Berks, PA",180,"800 New Holland Avenue, Unit 208 Lancaster PA, 17606",Bright Beginnings Therapeutic Services LLC DBA Attain ABA,1710535752,842920357,Managed Medicaid,No,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,12/13/2021,11/29/2024,,,,,
180,PA,Community Care Behavioral Health Berks,"Community Care Behavioral Health Berks, PA",180,"1326 Chestnut Street, 3rd floor Philadelphia, PA 19107",Bright Beginnings Therapeutic Services LLC DBA Attain ABA,1710535752,842920357,Managed Medicaid,No,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,12/13/2021,11/29/2024,,,,,
140,VA,Anthem BCBS of Virginia,"Anthem BCBS of Virginia, VA",140,"8000 Towers Crescent Drive, 13th Floor, Vienna, Virginia, 22182",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,F/U,Credential Via Carelon. Look back at DC provider issues and write out process,"850 Towbin Avenue, Lakewood NJ 08701",Attain,10/1/2020,11/29/2024,,,,,
226,WA,Kaiser,"Kaiser, WA",226,"450 Alaskan Way South, Suite 200, Seattle, WA 98104",Kadiant LLC,1811547052,833935694,Commercial,Yes,F/U,Address; Verified Individual Enrollment w/CG - Verified both locations are included for Credentialing (Seattle/Vancouver).,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,6/15/2023,11/29/2024,,,,,
207,CA,Health Plan of San Joaquin,"Health Plan of San Joaquin, CA",207,"3745 Long Beach Blvd, Ste 100, Long Beach, CA 90807-3340",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete ,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2024,11/29/2024,12/2/2024,,,,
207,CA,Health Plan of San Joaquin,"Health Plan of San Joaquin, CA",207,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete ,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2024,11/29/2024,12/2/2024,,,,
207,CA,Health Plan of San Mateo,"Health Plan of San Mateo, CA",207,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete ,Small service area. Only credential Riverbank location,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2024,11/29/2024,,,,,
220,CA,HPNC/UMRPIH,"HPNC/UMRPIH, CA",220,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Roster submission only (as needed basis); locations not specified on roster ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
220,CA,HPNC/UMRPIH,"HPNC/UMRPIH, CA",220,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Roster submission only (as needed basis); locations not specified on roster ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
220,CA,HPNC/UMRPIH,"HPNC/UMRPIH, CA",220,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Roster submission only (as needed basis); locations not specified on roster ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
220,CA,HPNC/UMRPIH,"HPNC/UMRPIH, CA",220,"3745 Long Beach Blvd, Ste 100, Long Beach, CA 90807-3340",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Roster submission only (as needed basis); locations not specified on roster ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
220,CA,HPNC/UMRPIH,"HPNC/UMRPIH, CA",220,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Roster submission only (as needed basis); locations not specified on roster ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
220,CA,HPNC/UMRPIH,"HPNC/UMRPIH, CA",220,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Roster submission only (as needed basis); locations not specified on roster ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
220,CA,HPNC/UMRPIH,"HPNC/UMRPIH, CA",220,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Roster submission only (as needed basis); locations not specified on roster ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
220,CA,HPNC/UMRPIH,"HPNC/UMRPIH, CA",220,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,Roster submission only (as needed basis); locations not specified on roster ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,8/1/2020,11/29/2024,,,,,
233,CA,Magellan,"Magellan, CA",233,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,6/1/2021,11/29/2024,,,,,
